'96 Zenkoku Koukou Soccer Senshuken (Japan).zip | Japan | 820 KB
Jim Power - The Lost Dimension in 3D (World) (QUByte Classics).zip | World | 676 KB
Jimmy Connors Pro Tennis Tour (Europe).zip | Europe | 324 KB
Jimmy Connors Pro Tennis Tour (France).zip | France | 325 KB
Jimmy Connors Pro Tennis Tour (Germany) (Beta).zip | Germany | 324 KB
Jimmy Connors Pro Tennis Tour (Germany).zip | Germany | 325 KB
Jimmy Connors Pro Tennis Tour (Japan).zip | Japan | 326 KB
Jimmy Connors Pro Tennis Tour (USA).zip | USA | 324 KB
Jimmy Houston's Bass Tournament U.S.A. (USA).zip | USA | 695 KB
Jissen! Mahjong Shinan (Japan).zip | Japan | 589 KB
Jissen! Pachi-Slot Hisshouhou! (Japan).zip | Japan | 410 KB
Jissen! Pachi-Slot Hisshouhou! 2 (Japan) (Rev 1).zip | Japan | 786 KB
Jissen! Pachi-Slot Hisshouhou! 2 (Japan).zip | Japan | 735 KB
Jissen! Pachi-Slot Hisshouhou! Classic (Japan).zip | Japan | 750 KB
Jissen! Pachi-Slot Hisshouhou! Yamasa Densetsu (Japan).zip | Japan | 707 KB
Jissen Bass Fishing Hisshouhou in USA (Japan).zip | Japan | 752 KB
Jissen Kyoutei (Japan).zip | Japan | 865 KB
Jissen Pachi-Slot Hisshouhou! Twin (Japan).zip | Japan | 339 KB
Jissen Pachi-Slot Hisshouhou! Twin Vol. 2 (Japan).zip | Japan | 349 KB
Jissen Pachinko Hisshouhou! 2 (Japan).zip | Japan | 692 KB
JoJo no Kimyou na Bouken (Japan).zip | Japan | 632 KB
Joe & Mac (USA).zip | USA | 613 KB
Joe & Mac - Caveman Ninja (Europe) (En,Fr,De,Es,It,Nl) (Beta).zip | Europe | 611 KB
Joe & Mac - Caveman Ninja (Europe) (En,Fr,De,Es,It,Nl).zip | Europe | 611 KB
Joe & Mac - Tatakae Genshijin (Japan).zip | Japan | 614 KB
Joe & Mac - Ultimate Caveman Collection (Europe) (Retro-Bit).zip | Europe | 1.7 MB
Joe & Mac 2 - Lost in the Tropics (USA) (Beta 1).zip | USA | 721 KB
Joe & Mac 2 - Lost in the Tropics (USA) (Beta 2).zip | USA | 720 KB
Joe & Mac 2 - Lost in the Tropics (USA).zip | USA | 721 KB
Joe & Mac 3 - Lost in the Tropics (Europe) (En,Fr,De) (Beta).zip | Europe | 735 KB
Joe & Mac 3 - Lost in the Tropics (Europe) (En,Fr,De).zip | Europe | 732 KB
John Madden Football '93 (Europe).zip | Europe | 504 KB
John Madden Football '93 (USA) (Rev 1).zip | USA | 473 KB
John Madden Football '93 (USA).zip | USA | 504 KB
John Madden Football (USA).zip | USA | 242 KB
Joushou Mahjong Tenpai (Japan).zip | Japan | 488 KB
Judge Dredd (Europe).zip | Europe | 1.4 MB
Judge Dredd (Japan) (En).zip | Japan | 1.4 MB
Judge Dredd (USA) (Sample).zip | USA | 1.3 MB
Judge Dredd (USA).zip | USA | 1.4 MB
Jumbo Ozaki no Hole in One (Japan).zip | Japan | 706 KB
Jumpin' Derby (Japan).zip | Japan | 1010 KB
Jungle Book, The (Europe).zip | Europe | 1.2 MB
Jungle Book, The (Japan) (En).zip | Japan | 1.2 MB
Jungle Book, The (USA) (Beta).zip | USA | 1.2 MB
Jungle Book, The (USA).zip | USA | 1.2 MB
Jungle Book, The (World) (Disney Classic Games).zip | World | 1.2 MB
Jungle Strike (Europe).zip | Europe | 1.2 MB
Jungle Strike (USA).zip | USA | 1.2 MB
Jungle Strike - Uketsugareta Kyouki (Japan).zip | Japan | 1.2 MB
Jungle Wars 2 - Kodai Mahou Atimos no Nazo (Japan).zip | Japan | 1.0 MB
Jungle no Ouja Tar-chan - Sekaimanyuu Daikakutou no Maki (Japan).zip | Japan | 618 KB
Jurassic Park II - The Chaos Continues (USA) (En,Fr,De,It) (Beta).zip | USA | 1.3 MB
Jurassic Park Part 2 - The Chaos Continues (Europe) (En,Fr,De,It).zip | Europe | 1.3 MB
Jurassic Park Part 2 - The Chaos Continues (USA) (En,Fr,De,It).zip | USA | 1.3 MB
Justice League Task Force (Europe).zip | Europe | 1.5 MB
Justice League Task Force (Japan) (En).zip | Japan | 1.5 MB
Justice League Task Force (USA) (Beta).zip | USA | 1.5 MB
Justice League Task Force (USA).zip | USA | 1.5 MB
Jutei Senki (Japan).zip | Japan | 851 KB
Juusou Kihei Valken (Japan).zip | Japan | 779 KB
Juusou Kihei Valken (World) (Ja) (Switch).zip | World | 780 KB
K.H. Rummenigge's Player Manager (Germany) (Sample).zip | Germany | 253 KB
K.H. Rummenigge's Player Manager (Germany).zip | Germany | 252 KB
Ka-blooey (USA).zip | USA | 191 KB
Kabuki Chou Reach Mahjong Tonpuusen (Japan).zip | Japan | 309 KB
Kabuki Rocks (Japan).zip | Japan | 1006 KB
Kachiuma Yosou Soft - Baken Renkinjutsu (Japan).zip | Japan | 206 KB
Kachou Shima Kousaku (Japan).zip | Japan | 829 KB
Kagakusha Harley no Haran Banjou (Japan) (En).zip | Japan | 335 KB
Kaite Tsukutte Asoberu Dezaemon (Japan).zip | Japan | 230 KB
Kaizou Choujin Shubibinman Zero (Japan).zip | Japan | 603 KB
Kakinoki Shougi (Japan).zip | Japan | 557 KB
Kamaitachi no Yoru (Japan).zip | Japan | 2.3 MB
Kamen Rider (Japan) (Rev 1).zip | Japan | 1005 KB
Kamen Rider (Japan).zip | Japan | 1004 KB
Kamen Rider SD - Shutsugeki!! Rider Machine (Japan).zip | Japan | 773 KB
Karura Ou (Japan).zip | Japan | 588 KB
Kashiwagi Shigetaka no Top Water Bassing (Japan).zip | Japan | 927 KB
Kat's Run - Zen-Nihon K-Car Senshuken (Japan).zip | Japan | 1.3 MB
Katou Hifumi Kudan - Shougi Club (Japan).zip | Japan | 280 KB
Kawa no Nushi Tsuri 2 (Japan).zip | Japan | 1.0 MB
Kawasaki Caribbean Challenge (USA).zip | USA | 810 KB
Kawasaki Superbike Challenge (Europe).zip | Europe | 386 KB
Kawasaki Superbike Challenge (USA).zip | USA | 386 KB
Keeper (Japan).zip | Japan | 360 KB
Keeping SNES Alive (World) (Aftermarket) (Unl).zip | World | 56 KB
Keiba Eight Special (Japan) (Rev 1).zip | Japan | 394 KB
Keiba Eight Special (Japan).zip | Japan | 401 KB
Keiba Eight Special 2 (Japan).zip | Japan | 615 KB
Ken Griffey Jr.'s Winning Run (USA).zip | USA | 2.6 MB
Ken Griffey Jr. Presents Major League Baseball (USA) (Rev 1).zip | USA | 989 KB
Ken Griffey Jr. Presents Major League Baseball (USA).zip | USA | 937 KB
Kendo Rage (USA).zip | USA | 456 KB
Kentou Ou World Champion (Japan).zip | Japan | 306 KB
Kenyuu Densetsu Yaiba (Japan) (Beta).zip | Japan | 406 KB
Kenyuu Densetsu Yaiba (Japan).zip | Japan | 1.0 MB
Kero Kero Keroppi no Bouken Nikki - Nemureru Mori no Keroleen (Japan).zip | Japan | 338 KB
Kessen! Dokapon Oukoku IV - Densetsu no Yuusha-tachi (Japan) (v.07.315) (Beta).zip | Japan | 701 KB
Kessen! Dokapon Oukoku IV - Densetsu no Yuusha-tachi (Japan) (v.07.431) (Beta).zip | Japan | 701 KB
Kessen! Dokapon Oukoku IV - Densetsu no Yuusha-tachi (Japan).zip | Japan | 696 KB
Kevin Keegan's Player Manager (Europe) (Sample).zip | Europe | 250 KB
Kevin Keegan's Player Manager (Europe).zip | Europe | 252 KB
Kick Off (Europe).zip | Europe | 236 KB
Kick Off 3 - European Challenge (Europe) (Beta).zip | Europe | 371 KB
Kick Off 3 - European Challenge (Europe) (En,Fr,De,Es,It).zip | Europe | 427 KB
Kid Klown in Crazy Chase (Europe).zip | Europe | 705 KB
Kid Klown in Crazy Chase (USA) (Beta) (1994-06-13).zip | USA | 706 KB
Kid Klown in Crazy Chase (USA) (Beta) (Earlier).zip | USA | 702 KB
Kid Klown in Crazy Chase (USA).zip | USA | 705 KB
Kid Klown no Crazy Chase (Japan).zip | Japan | 705 KB
Kidou Butouden G Gundam (Japan).zip | Japan | 1.1 MB
Kidou Keisatsu Patlabor (Japan).zip | Japan | 1.1 MB
Kidou Senshi Gundam - Cross Dimension 0079 (Japan).zip | Japan | 672 KB
Kidou Senshi Gundam F91 - Formula Senki 0122 (Japan).zip | Japan | 540 KB
Kidou Senshi V Gundam (Japan).zip | Japan | 770 KB
Kidou Senshi Z Gundam - Away to the Newtype (Japan).zip | Japan | 1.5 MB
Kidou Soukou Dion (Japan) (En).zip | Japan | 579 KB
Kijin Kourinden Oni (Japan) (Beta).zip | Japan | 980 KB
Kijin Kourinden Oni (Japan).zip | Japan | 997 KB
Kiki Kaikai - Nazo no Kuro Manteau (Japan).zip | Japan | 698 KB
Kiki Kaikai - Tsukiyo Soushi (Japan).zip | Japan | 919 KB
Kikou Keisatsu Metal Jack (Japan).zip | Japan | 395 KB
Kikuni Masahiko no Jantoushi Doraou (Japan) (Beta) (1992-11-15).zip | Japan | 617 KB
Kikuni Masahiko no Jantoushi Doraou (Japan).zip | Japan | 662 KB
Kikuni Masahiko no Jantoushi Doraou 2 (Japan).zip | Japan | 707 KB
Killer Instinct (Europe).zip | Europe | 3.1 MB
Killer Instinct (USA) (Beta).zip | USA | 2.9 MB
Killer Instinct (USA) (Rev 1).zip | USA | 3.1 MB
Killer Instinct (USA).zip | USA | 3.1 MB
Kindai Mahjong Special (Japan).zip | Japan | 536 KB
King Arthur & The Knights of Justice (USA).zip | USA | 1.9 MB
King Arthur's World (Europe).zip | Europe | 354 KB
King Arthur's World (USA) (Beta) (1992-08-21).zip | USA | 352 KB
King Arthur's World (USA).zip | USA | 354 KB
King of Dragons (Europe).zip | Europe | 1.2 MB
King of Dragons (USA).zip | USA | 1.2 MB
King of Dragons, The (Japan).zip | Japan | 1.2 MB
King of Fighters '98, The (USA) (Pirate).zip | USA | 1.2 MB
King of Fighters 2000, The (USA) (Pirate).zip | USA | 1.5 MB
King of Rally, The - Paris-Moscow-Beijing (Japan).zip | Japan | 444 KB
King of the Monsters (Europe).zip | Europe | 595 KB
King of the Monsters (Japan).zip | Japan | 605 KB
King of the Monsters (USA).zip | USA | 595 KB
King of the Monsters 2 (USA) (Beta).zip | USA | 1.3 MB
King of the Monsters 2 (USA).zip | USA | 1.3 MB
King of the Monsters 2 - Next Thing (Japan).zip | Japan | 1.3 MB
Kingyo Chuuihou! - Tobidase! Game Gakuen (Japan).zip | Japan | 1.2 MB
Kinnikuman - Dirty Challenger (Japan).zip | Japan | 363 KB
Kirby's Avalanche (USA).zip | USA | 527 KB
Kirby's Dream Course (Europe) (Virtual Console).zip | Europe | 596 KB
Kirby's Dream Course (Europe).zip | Europe | 596 KB
Kirby's Dream Course (USA).zip | USA | 596 KB
Kirby's Dream Course (USA, Europe) (Virtual Console, Switch Online).zip | USA, Europe | 597 KB
Kirby's Dream Land 3 (USA).zip | USA | 2.1 MB
Kirby's Fun Pak (Europe).zip | Europe | 2.7 MB
Kirby's Ghost Trap (Europe).zip | Europe | 524 KB
Kirby Bowl (Japan) (Virtual Console, Switch Online).zip | Japan | 677 KB
Kirby Bowl (Japan).zip | Japan | 677 KB
Kirby Super Star (USA).zip | USA | 2.7 MB
Kirby no Kirakira Kids (Japan).zip | Japan | 1.3 MB
Kishin Douji Zenki - Battle Raiden (Japan).zip | Japan | 1.4 MB
Kishin Douji Zenki - Denei Raibu (Japan).zip | Japan | 1.3 MB
Kishin Douji Zenki - Tenchi Meidou (Japan).zip | Japan | 1.2 MB
Kiteretsu Daihyakka - Choujikuu Sugoroku (Japan).zip | Japan | 571 KB
Knights of the Round (Europe).zip | Europe | 1.0 MB
Knights of the Round (Japan).zip | Japan | 1.0 MB
Knights of the Round (USA).zip | USA | 1.0 MB
Konpeki no Kantai (Japan).zip | Japan | 575 KB
Kouryaku Casino Bar (Japan).zip | Japan | 611 KB
Kouryuu Densetsu Villgust - Kieta Shoujo (Japan) (Rev 1).zip | Japan | 567 KB
Kouryuu Densetsu Villgust - Kieta Shoujo (Japan).zip | Japan | 567 KB
Kouryuuki (Japan).zip | Japan | 1022 KB
Kouryuu no Mimi (Japan).zip | Japan | 735 KB
Koushien 2 (Japan).zip | Japan | 422 KB
Koushien 3 (Japan).zip | Japan | 647 KB
Koushien 4 (Japan).zip | Japan | 1.3 MB
Kousoku Shikou Shougi Ou (Japan).zip | Japan | 571 KB
Koutetsu no Kishi (Japan).zip | Japan | 632 KB
Koutetsu no Kishi 2 - Sabaku no Rommel Gundan (Japan).zip | Japan | 922 KB
Koutetsu no Kishi 3 - Gekitotsu Europe Sensen (Japan) (Rev 1).zip | Japan | 975 KB
Koutetsu no Kishi 3 - Gekitotsu Europe Sensen (Japan).zip | Japan | 975 KB
Krusty's Super Fun House (Europe) (Rev 1).zip | Europe | 318 KB
Krusty's Super Fun House (Europe).zip | Europe | 313 KB
Krusty's Super Fun House (USA) (Rev 1).zip | USA | 318 KB
Krusty's Super Fun House (USA).zip | USA | 313 KB
Krusty World (Japan).zip | Japan | 318 KB
Kunio-kun no Dodge Ball Da yo Zenin Shuugou! (Japan).zip | Japan | 713 KB
Kunio-kun no Dodge Ball Da yo Zenin Shuugou! - Tournament Special (Japan).zip | Japan | 234 KB
Kunio no Oden (Japan) (Beta).zip | Japan | 320 KB
Kunio no Oden (Japan).zip | Japan | 331 KB
Kuusou Kagaku Sekai Gulliver Boy (Japan).zip | Japan | 794 KB
Kyle Petty's No Fear Racing (USA).zip | USA | 1.8 MB
Kyuuyaku Megami Tensei (Japan) (Rev 1).zip | Japan | 1.4 MB
Kyuuyaku Megami Tensei (Japan).zip | Japan | 1.3 MB
La Wares (Japan).zip | Japan | 989 KB
Lady Stalker - Kako kara no Chousen (Japan).zip | Japan | 1.8 MB
Lagoon (Europe).zip | Europe | 632 KB
Lagoon (Germany).zip | Germany | 634 KB
Lagoon (Japan).zip | Japan | 615 KB
Lagoon (USA).zip | USA | 616 KB
Lamborghini American Challenge (Europe).zip | Europe | 363 KB
Lamborghini American Challenge (USA).zip | USA | 363 KB
Langrisser, Der (Japan) (Rev 1).zip | Japan | 1.3 MB
Langrisser, Der (Japan).zip | Japan | 1.3 MB
Laplace no Ma (Japan).zip | Japan | 889 KB
Larry Nixon's Super Bass Fishing (Japan) (Rev 1).zip | Japan | 945 KB
Larry Nixon's Super Bass Fishing (Japan).zip | Japan | 945 KB
Las Vegas Dream in Golden Paradise (Japan).zip | Japan | 729 KB
Last Action Hero (Europe).zip | Europe | 447 KB
Last Action Hero (USA).zip | USA | 445 KB
Last Battle, The (Japan) (Beta).zip | Japan | 1.4 MB
Last Battle, The (Japan).zip | Japan | 1.4 MB
Last Bible III (Japan).zip | Japan | 2.0 MB
Last Super, The (World) (Aftermarket) (Unl).zip | World | 78 KB
Lawnmower Man, The (Europe).zip | Europe | 561 KB
Lawnmower Man, The (USA) (Beta).zip | USA | 582 KB
Lawnmower Man, The (USA).zip | USA | 562 KB
Leading Company (Japan).zip | Japan | 536 KB
Leading Jockey (Japan).zip | Japan | 326 KB
Leading Jockey 2 (Japan).zip | Japan | 394 KB
Legend (Europe).zip | Europe | 809 KB
Legend (USA) (Beta).zip | USA | 816 KB
Legend (USA).zip | USA | 816 KB
Legend (World) (Aftermarket) (Unl).zip | World | 810 KB
Legend (World) (QUByte Classics).zip | World | 810 KB
Legend of Zelda, The (World) (Digital) (REV-F) (Aftermarket) (Pirate).zip | World | 327 KB
Legend of Zelda, The (World) (Digital) (REV-G) (Aftermarket) (Pirate).zip | World | 327 KB
Legend of Zelda, The - A Link to the Past (Canada) (Fr).zip | Canada | 688 KB
Legend of Zelda, The - A Link to the Past (Europe).zip | Europe | 687 KB
Legend of Zelda, The - A Link to the Past (France).zip | France | 689 KB
Legend of Zelda, The - A Link to the Past (Germany).zip | Germany | 690 KB
Legend of Zelda, The - A Link to the Past (USA).zip | USA | 686 KB
Legend of Zelda, The - A Link to the Past (USA, Europe) (Switch Online).zip | USA, Europe | 686 KB
Legend of the Mystical Ninja, The (Europe).zip | Europe | 833 KB
Legend of the Mystical Ninja, The (Germany).zip | Germany | 831 KB
Legend of the Mystical Ninja, The (USA) (Virtual Console).zip | USA | 833 KB
Legend of the Mystical Ninja, The (USA).zip | USA | 833 KB
Lemmings (Europe).zip | Europe | 550 KB
Lemmings (Japan) (En).zip | Japan | 560 KB
Lemmings (USA) (Rev 1).zip | USA | 550 KB
Lemmings (USA).zip | USA | 550 KB
Lemmings 2 - The Tribes (Europe).zip | Europe | 1.0 MB
Lemmings 2 - The Tribes (Japan).zip | Japan | 1.0 MB
Lemmings 2 - The Tribes (USA).zip | USA | 1.0 MB
Lennus - Kodai Kikai no Kioku (Japan).zip | Japan | 805 KB
Lennus II - Fuuin no Shito (Japan).zip | Japan | 2.2 MB
Lester the Unlikely (USA).zip | USA | 649 KB
Lethal Enforcers (Europe).zip | Europe | 1.6 MB
Lethal Enforcers (Japan).zip | Japan | 1.6 MB
Lethal Enforcers (USA).zip | USA | 1.6 MB
Lethal Weapon (Europe).zip | Europe | 661 KB
Lethal Weapon (USA) (Arcade).zip | USA | 665 KB
Lethal Weapon (USA).zip | USA | 661 KB
Libble Rabble (Japan).zip | Japan | 265 KB
Liberty or Death (USA).zip | USA | 721 KB
Light Fantasy (Japan).zip | Japan | 633 KB
Light Fantasy II (Japan).zip | Japan | 1.5 MB
Lion King, The (Europe).zip | Europe | 2.0 MB
Lion King, The (Japan).zip | Japan | 2.0 MB
Lion King, The (USA) (Beta 1).zip | USA | 1.2 MB
Lion King, The (USA) (Beta 2).zip | USA | 1.9 MB
Lion King, The (USA) (Beta 3).zip | USA | 2.0 MB
Lion King, The (USA).zip | USA | 2.0 MB
Lion King, The (World) (Disney Classic Games).zip | World | 2.8 MB
Lion King, The (World) (Ja) (Disney Classic Games).zip | World | 2.8 MB
Little Magic (Europe) (Proto).zip | Europe | 188 KB
Little Magic (Japan) (Beta).zip | Japan | 214 KB
Little Magic (Japan).zip | Japan | 191 KB
Little Master - Nijiiro no Maseki (Japan) (Beta).zip | Japan | 970 KB
Little Master - Nijiiro no Maseki (Japan).zip | Japan | 1.1 MB
Little Medusa (USA) (Aftermarket) (Unl).zip | USA | 463 KB
Little Medusa (USA) (Demo) (Aftermarket) (Unl).zip | USA | 303 KB
Live A Live (Japan).zip | Japan | 1.5 MB
Lizard (World) (Aftermarket) (Unl).zip | World | 246 KB
Lizard (World) (Demo) (Aftermarket) (Unl).zip | World | 199 KB
Lobo (USA) (Proto).zip | USA | 1.7 MB
Lock On (USA).zip | USA | 306 KB
Lode Runner Twin - Justy to Liberty no Daibouken (Japan).zip | Japan | 453 KB
Lodoss-tou Senki (Japan).zip | Japan | 1.9 MB
Logos Panic Goaisatsu (Japan).zip | Japan | 688 KB
Looney Tunes - Road Runner (Europe).zip | Europe | 581 KB
Looney Tunes - Road Runner vs Wile E. Coyote (Japan) (En).zip | Japan | 586 KB
Looney Tunes B-Ball (USA).zip | USA | 1.5 MB
Looney Tunes Basketball (Europe).zip | Europe | 1.5 MB
Lord Monarch (Japan) (Rev 1) (NP).zip | Japan | 266 KB
Lord Monarch (Japan).zip | Japan | 266 KB
Lord of Darkness (USA).zip | USA | 532 KB
Lost Vikings, The (Europe).zip | Europe | 757 KB
Lost Vikings, The (France) (En,Fr).zip | France | 758 KB
Lost Vikings, The (Germany).zip | Germany | 748 KB
Lost Vikings, The (Spain).zip | Spain | 748 KB
Lost Vikings, The (USA) (Beta 1).zip | USA | 746 KB
Lost Vikings, The (USA) (Beta 2).zip | USA | 744 KB
Lost Vikings, The (USA).zip | USA | 751 KB
Lost Vikings 2 (USA).zip | USA | 716 KB
Lost Vikings II, The - Norse by Norsewest (Europe) (En,Fr,De).zip | Europe | 741 KB
Lothar Matthaeus Super Soccer (Germany).zip | Germany | 244 KB
Love Quest (Japan).zip | Japan | 1.1 MB
Lucky Luke (Europe) (En,Fr,De,Es) (Beta).zip | Europe | 1.0 MB
Lucky Luke (Europe) (En,Fr,De,Es).zip | Europe | 1.0 MB
Lufia & the Fortress of Doom (USA) (Beta).zip | USA | 799 KB
Lufia & the Fortress of Doom (USA).zip | USA | 798 KB
Lufia (Europe).zip | Europe | 1.8 MB
Lufia (Germany).zip | Germany | 2.2 MB
Lufia (Netherlands).zip | Netherlands | 2.2 MB
Lufia (Spain).zip | Spain | 2.1 MB
Lufia II - Rise of the Sinistrals (USA).zip | USA | 1.8 MB
Lupin Sansei - Densetsu no Hihou o Oe! (Japan).zip | Japan | 839 KB
MACS Basic Rifle Marksmanship (USA) (v1.1e) [b].zip | USA | 374 KB
MLBPA Baseball (USA).zip | USA | 678 KB
MVP Baseball (Japan) (En).zip | Japan | 609 KB
Madden NFL '94 (Europe).zip | Europe | 765 KB
Madden NFL '94 (USA).zip | USA | 765 KB
Madden NFL 95 (Europe).zip | Europe | 719 KB
Madden NFL 95 (USA).zip | USA | 719 KB
Madden NFL 96 (USA) (Sample).zip | USA | 1.0 MB
Madden NFL 96 (USA).zip | USA | 1.0 MB
Madden NFL 97 (USA).zip | USA | 1.1 MB
Madden NFL 98 (USA).zip | USA | 1.1 MB
Madou Monogatari - Hanamaru Daiyouchienji (Japan).zip | Japan | 1.1 MB
Maerchen Adventure Cotton 100% (Japan) (Columbus Circle) (Reprint).zip | Japan | 839 KB
Maerchen Adventure Cotton 100% (Japan).zip | Japan | 839 KB
Maerchen Adventure Cotton 100% (USA) (Strictly Limited Games).zip | USA | 838 KB
Magic Boy (Europe).zip | Europe | 306 KB
Magic Boy (USA) (Beta) (1993-03-03).zip | USA | 323 KB
Magic Boy (USA).zip | USA | 306 KB
Magic Johnson no Super Slam Dunk (Japan) (En).zip | Japan | 654 KB
Magic Knight Rayearth (Japan).zip | Japan | 870 KB
Magic Sword (Europe).zip | Europe | 530 KB
Magic Sword (Japan).zip | Japan | 529 KB
Magic Sword (USA).zip | USA | 530 KB
Magical Drop (Japan).zip | Japan | 623 KB
Magical Drop 2 (Japan) (Bunka Housou Special Version).zip | Japan | 1.6 MB
Magical Drop 2 (Japan).zip | Japan | 1.6 MB
Magical Drop II (USA, Europe) (Switch Online).zip | USA, Europe | 1.2 MB
Magical Pop'n (Japan).zip | Japan | 1.5 MB
Magical Taruruuto-kun - Magic Adventure (Japan).zip | Japan | 282 KB
Magna Braban - Henreki no Yuusha (Japan).zip | Japan | 879 KB
Mahjong Club (Japan).zip | Japan | 204 KB
Mahjong Gokuu Tenjiku (Japan).zip | Japan | 468 KB
Mahjong Hanjouki (Japan).zip | Japan | 289 KB
Mahjong Hishouden - Shin Naki no Ryuu (Japan).zip | Japan | 768 KB
Mahjong Sengoku Monogatari (Japan).zip | Japan | 537 KB
Mahjong Taikai II (Japan) (Rev 1).zip | Japan | 867 KB
Mahjong Taikai II (Japan).zip | Japan | 867 KB
Mahjong Touhaiden, The (Japan).zip | Japan | 441 KB
Mahou Poi Poi Poitto! (Japan).zip | Japan | 652 KB
Mahoujin Guruguru (Japan).zip | Japan | 1.2 MB
Mahoujin Guruguru 2 (Japan).zip | Japan | 1.3 MB
Majin Tensei (Japan) (Rev 1).zip | Japan | 1.1 MB
Majin Tensei (Japan) (Rev 2).zip | Japan | 1.1 MB
Majin Tensei (Japan).zip | Japan | 1.1 MB
Majin Tensei II - Spiral Nemesis (Japan).zip | Japan | 1.9 MB
Major Title (Europe).zip | Europe | 469 KB
Major Title (Japan).zip | Japan | 466 KB
Majuu Ou (Japan).zip | Japan | 834 KB
Maka Maka (Japan).zip | Japan | 765 KB
Makeruna! Makendou (Japan).zip | Japan | 457 KB
Makeruna! Makendou 2 - Kimero! Youkai Souridaijin (Japan).zip | Japan | 1.1 MB
Manchester United Championship Soccer (Europe) (Beta).zip | Europe | 271 KB
Manchester United Championship Soccer (Europe).zip | Europe | 251 KB
Mario's Early Years - Fun with Letters (USA).zip | USA | 835 KB
Mario's Early Years - Fun with Numbers (USA).zip | USA | 831 KB
Mario's Early Years - Preschool Fun (USA).zip | USA | 849 KB
Mario's Super Picross (Europe) (Ja) (Virtual Console).zip | Europe | 390 KB
Mario's Time Machine (Europe).zip | Europe | 912 KB
Mario's Time Machine (Germany).zip | Germany | 908 KB
Mario's Time Machine (USA) (Beta).zip | USA | 912 KB
Mario's Time Machine (USA).zip | USA | 912 KB
Mario Is Missing! (Europe).zip | Europe | 904 KB
Mario Is Missing! (France).zip | France | 901 KB
Mario Is Missing! (Germany).zip | Germany | 902 KB
Mario Is Missing! (USA) (Beta) (1993-03-10).zip | USA | 904 KB
Mario Is Missing! (USA).zip | USA | 904 KB
Mario Paint (Europe).zip | Europe | 452 KB
Mario Paint (Japan, USA) (En) (Beta).zip | Japan, USA | 480 KB
Mario Paint (Japan, USA) (En).zip | Japan, USA | 453 KB
Mario no Super Picross (Japan).zip | Japan | 388 KB
Mario to Wario (Japan) (En).zip | Japan | 441 KB
Mark Davis' The Fishing Master (USA).zip | USA | 992 KB
Marko's Magic Football (Europe) (En,Fr,De,Es).zip | Europe | 791 KB
Marmalade Boy (Japan) (Sample).zip | Japan | 635 KB
Marmalade Boy (Japan).zip | Japan | 630 KB
Maru's Quest (Europe) (Proto).zip | Europe | 433 KB
Marvel Super Heroes - War of the Gems (Japan) (Beta).zip | Japan | 1.3 MB
Marvel Super Heroes - War of the Gems (Japan).zip | Japan | 1.2 MB
Marvel Super Heroes - War of the Gems (USA) (Beta).zip | USA | 720 KB
Marvel Super Heroes in War of the Gems (Europe).zip | Europe | 1.2 MB
Marvel Super Heroes in War of the Gems (USA).zip | USA | 1.2 MB
